web-scraper-order;web-scraper-start-url;link;link-href;judul;penulis;abstrak
1677119723-1;https://pta.trunojoyo.ac.id/c_search/byprod/10/100;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100092;VIRTUAL REALITY UNTUK PENGENALAN LINGKUNGAN LABORATORIUM TEKNIK INFORMATIKA UTM;Penulis : Muzammil;Dewasa ini perkembangan teknologi semakin maju, salah satu teknologi yang berkembang pesat pada saat ini yaitu smartphone berbasis android. Namun berkembangnya teknologi tidak sebanding dengan kebutuhan mahasiswa, misalnya dalam pengenalan lingkungan laboratorium. Selama ini pengenalan lingkungan laboratorium masih dilakukan secara manual tanpa melibatkan sebuah teknologi untuk memperkenalkan sebuah lingkungan laboratorium dan hal itu dirasa kurang efektif dan efisien karena membuhkan tenaga dan waktu yang lama. Dari permasalahan tersebut dibuatlah sebuah Virtual Reality (VR) 3D berbasis android yang berjenis visualisasi arsitektur dengan studi area Laboratorium Teknik Informatika (TIF) UTM. Dengan aplikasi ini mahasiswa dapat menjelajah dan mengenal Laboratorium TIF hanya dengan menggunakan smartphone berbasis Android, sehingga mahasiswa tidak perlu datang secara langsung. Dari data hasil uji coba, aplikasi VR Laboratorium TIF dapat berjalan dengan baik di 6 device uji coba namun pada device Andromax R1 gyroscope tidak berfungsi dengan baik. Dari hasil pengujian aplikasi menggunakan kuesioner didapatkan nilai rata-rata dari responden berdasarkan verifikasi user yaitu 89% baik, 11% Kurang baik, dan 0% sangat kurang baik. Sedangkan nilai rata-rata dari keseluruhan pertanyaan yaitu sebesar 95%.
1677119725-2;https://pta.trunojoyo.ac.id/c_search/byprod/10/100;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100057;Analytical Hierarchy Process (AHP) Untuk Evaluasi Sistem Monitoring Master Plan Teknologi Informasi Pemerintah Kota Mojokerto;Penulis : Sulaiman Wakhid;IT Master Plan adalah sebuah perencanaan strategis terkait pengembangan sistem dan teknologi informasi yang ada di dalam sebuah organisasi atau perusahaan. Kota Mojokerto menerapkan IT Master Plan menyangkut pengembangan sistem dan teknologi di setiap SKPD (Satuan Kerja Perangkat Daerah) dengan cara manual, sehingga  membutuhkan waktu yang lama dalam mendapatkan hasil capaian kinerja. Berdasarkan hal tersebut diperlukan pengembangan sebuah sistem yang dapat melakukan survei, evaluasi, dan pencapaian kinerja secara terintegrasi ke setiap SKPD. Sebelumnya dan sampai saat ini, sistem yang digunakan dalam melaksanakan implementasi IT Master Plan masih dilakukan dengan manual, yaitu survei, evaluasi, serta hasil capaian kinerja membutuhkan tenaga tambahan yang banyak dan masih belum terkomputerisasi. Pada penelitian ini penulis  mengimplementasikan metode Analytical Hierarchy Process (AHP) untuk menentukan nilai bobot pada tahap evaluasi. Terdapat tiga tahapan utama evaluasi dalam penelitian ini. Tahap pertama menentukan bobot untuk masing-masing kriteria penilaian menggunakan metode AHP. Tahap kedua adalah memperoleh nilai score melalui bobot dan hasil survei. Terakhir adalah implementasi metode Trrafic Light System pada score. Berdasarkan hasil penelitian dan pengujian dengan data monitoring tahun 2015 pada SKPD kelurahan jagalan didapatkan nilai rata-rata score sebanyak 0.509.
1677119727-3;https://pta.trunojoyo.ac.id/c_search/byprod/10/100;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100097;CUSTOMER PROFILING MENGGUNAKAN ALGORITMA K-MEAN PADA USAHA KECIL MENENGAH BATIK MADURA;Penulis : Eka Fitriadi;Customer Profiling adalah profil pelanggan. Profiling digunakan untuk mengetahui data pribadi pelanggan saat pembelian. Pembentukan cluster merupakan salah satu teknik yang digunakan dalam mengekstrak pola kecenderungan suatu data. Teknik ini ini digunakan dalam proses Knowledge discovery in database (KDD). Data mining biasanya identik dengan proses penggalian data-data yang cukup besar dan dikelompokkan menjadi data yang tersusun rapi. Prinsip dari customer profiling adalah pengambilan data input berupa kuisoner dari setiap pelanggan melakukan pembelian. Permasalahan yang terjadi saat ini perusahaan tersebut masih melakukan secara manual untuk mengetahui batik yang sering di beli serta stok barang yang ada di gudang. Dari permasalahan tersebut di buat sebuah aplikasi untuk pengelompokan data cutomer dan mengidentifikasi customer lebih tertarik pada model batik yang sering di beli customer dengan menggunakan Algoritma K-Mean. Sehingga akan terlihat kelompok data yang sama dan data yang berbeda untuk  mengoptimalkan persediaan barang yang diminati customer ketika berbelanja. Dari hasil pengujian dengan menggunakan metode K-Mean clustering untuk system profiling toko batik Madura pada cluster1, cluster2, cluster3 dan cluster4 memiliki kecendrungan memilih batik model gejeh se kerreng dan manok.
1677119730-4;https://pta.trunojoyo.ac.id/c_search/byprod/10/100;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100103;PEMODELAN SISTEM DINAMIK UNTUK MENINGKATKAN PROFIT PETANI GARAM;Penulis : Rasminawati;Keuntungan  pada sebuah industri merupakan salah satu hal yang sangat penting bagi kemajuan industri tersebut. Tidak terkecuali industri garam . Masa panen garam yang  tidak menentu serta kualitas garam  yang tidak stabil merupakan salah satu kendala dalam industri garam Indonesia.  Kedua hal tersebut berpengaruh terhadap harga jual garam yang  juga tidak stabil, hal inI mengakibatkan keuntungan petani garam sebagai produsen garam tidak menentu bahkan cenderung menurun. Faktor-faktor yang mempengauhi keuntungan diantaranya adalah waktu panen, Harga jual garam, jumlah modal, jumlah stok garam, dan kualitas garam yang dihasilkan.Untuk meningkatakan keuntungan petani garam maka dilakukan analisis pemodelan sistem dinamik untuk meningkatkan profit petani garam.Sedangakan software yang digunakan adalah menggunakan aplikasi vensim. Berdasarkan hasil pemodelan sistem dinamik profit petani garam melalui skenario efisiensi biaya dapat meningkatkan profit sebesar 12,9% di dalam skenario optimistic. Sekenario penggunaan teknologi terbaru, yaitu penggunaan geo membrane dapat meningkatkan profit sebesar 199,56% pada skenario optimistic.
1677119732-5;https://pta.trunojoyo.ac.id/c_search/byprod/10/100;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100099;SISTEM INFORMASI REKOMENDASI CUSTOMER BATIK MENGGUNAKAN ASSOSIATION RULE MINING;Penulis : ANDIKA PRASETYA PUTRA;Ukm Batik Tresna Art Bangkalan memiliki Sistem Informasi data penjualan yang dapat mempermudah dalam rekapitulasi data keuangan. Namun data transaksi yang tercatat pada database system masih belum mampu diolah kembali secara maksimal. Hal ini dikarenakan belum adanya modul pengolahan kembali data transaksi sehingga hanya akan tertimbun dalam database system dan tidak menghasilkan kembali informasi danpengetahuan yang bermanfaat untuk meningkatkan penjualan.  Salah satu cara untuk memanfatkan data transaksi agar dapat meningkatkan penjualan dengan cara merekomendasikan suatu produkdengan teknik association rule mining dan menggunakan metode apriori.  Penentuan pola dan aturan pada assosiation rule dilakukan dengan menentukan nilai support dan confidence yang dihasilkan dari proses data transaksi, sehingga diketahui kaitan assosiation antar produk yang dibeli dan mempermudah konsumen untuk memilih produk batik yang akan dibeli.
1677119737-6;https://pta.trunojoyo.ac.id/c_search/byprod/10/99;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/110411100023;APLIKASI KLASIFIKASI DOKUMEN BERDASARKAN BIDANG MINAT MENGGUNAKAN METODE NAIVE BAYES;Penulis : Makhsusotin;"Saat ini bentuk dokumen digital telah mengalami perkembangan yang sangat pesat,  namun kumpulan dokumen yang banyak akan sulit untuk diketahui karakteristik informasinya. Banyak sekali macam-macam karya ilmiah pda portal artikel tugas akhir Universitas Trunojoyo Madura.  Karya ilmiah tentang pendidikan, hukum, ekonomi, dan masih banyak sekali macam karya ilmiah yang lain. Dari berbagai macam karya ilmiah tersebut dapat dengan mudah sekali dilakukan pengkategorian dokumen secara manual oleh manusia. Akan tetapi jika dilakukan secara terkomputerisasi akan sangatlah sulit. Untuk itu penelitian ini menghasilkan sebuah aplikasi yang dapat mengkategorikan suatu dokumen. Dokumen yang digunakan berupa dokumen abstrak karya ilmiah penelitian berdasarkan bidang minat prodi Teknik Informatika yang berada di Universitas Trunojoyo Madura. Yaitu, bidang minat Sistem Informasi, Sistem Terdistribusi, Digital Multimedia dan CAI (Computing Artificial Intelligence). Dari penelitian ini dihasilkan kesimpulan bahwa dalam pembuatan Aplikasi Klasifikasi Dokumen Abstrak Karya Ilmiah  ini telah berhasil mengklasifikasi dokumen sesuai dengan bidang minat yaitu, CAI(Computing Artificial Intelligence), Digital Multimedia, Sistem Terdistribusi dan Sistem Informasi dengan tingkat akurasi mencapai 77%. 

Kata Kunci : Klasifikasi, Preprocessing, Naive Bayes."
1677119740-7;https://pta.trunojoyo.ac.id/c_search/byprod/10/99;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/110411100076;SISTEM PENDUKUNG KEPUTUSAN PEMBERIAN PINJAMAN PADA ANGGOTA KPRI KARYA HUSADA PAMEKASAN MENGGUNAKAN METODESAW(SIMPLE ADDITIVE WEIGHTING);Penulis : Herlina Eka Rahmawati;"KPRI Karya Husada merupakan koperasi yang bergerak dalam usaha pengkreditan yang menyediakan pinjaman. Setiap anggota koperasi yang akan melakukan pinjaman (kreditur) harus melalui tahap penilaian untuk menentukan kelayakan penerima pinjaman. Penilaian tersebut dilihat berdasarkan empat kriteria, yaitu pendapatan, angsuran, pinjaman, dan piutang. 
Selama ini pelayanan untuk menentukan siapa saja yang berhak mendapatkan pinjaman masih dilakukan dengan cara manual dengan menggunakan Microsoft Office Excel namun belum menggunakan sistem komputer secara optimal. 
Untuk membantu mengatasi masalah tersebut, maka perlu adanya solusi pemecahan masalah yang ada dengan membuat suatu sistem pendukung keputusan (SPK). Dalam sistem ini penulis memberikan suatu rekomendasi pada ketua koperasi agar mempermudah dalam penentuan pemberian pinjaman pada anggota dengan menggunakan metode SAW (Simple Additive Weighting). Hasil pengujian menunjukkan bahwa dari pembuatan aplikasi ini dengan meggunakan metode SAW mempunyai tingkat akurasi 74% dari data pembanding manual.

Kata Kunci :SPK (Sistem Pendukung Keputusan), koperasi, KPRI Karya Husada, SAW (Simple Additive Weighting), pinjaman."
1677119742-8;https://pta.trunojoyo.ac.id/c_search/byprod/10/99;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/110411100075;PERBANDINGAN ALGORITMA WINNOWING DAN RABIN KARP DALAM SISTEM PENDETEKSI PLAGIARISME BERBASIS CHARACTER BASE METHODS;Penulis : Achmad Fajar Norullah;"Perkembangan teknologi menyebabkan semakin mudahnya mengakses informasi. Hal ini menimbulkan semakin banyak terjadi kasus plagiarisme. Plagiarisme merupakan tindakan mencuri atau mengambil karya orang lain tanpa mencantumkan sumber.
Plagiarisme tidak hanya terjadi dalam kalangan pelajar saja, tapi juga kalangan pengajar. Pada dasarnya manusia memiliki intuisi untuk melakukan analisa terhadap dokumen dan dapat menentukan plagiarisme pada sebuah dokumen. Namun banyaknya jumlah data menjadi salah satu faktor kendala utama.
Banyak sistem yang telah dikembangkan, diantaranya yang berbasis character based methods. Penelitian ini bermaksut untuk membandingkan dua buah algoritma dengan basis character based methods, yaitu algoritma winnowing dan rabin karp. Empat buah skenario pengujian dibuat untuk membandingkan akurasi nilai similarity. 
Hasil perbandingan similarity keempat skenario diantaranya skenario word for word plagiarism, skenario plagiarisme mosaik, skenario dokumen terbukti plagiasi dan skenario tugas akhir dengan topik yang sama mendapatkan kesimpulan bahwa algoritma rabin karp memiliki nilai rataan similarity yang lebih tinggi dari algoritma winnowing."
1677119745-9;https://pta.trunojoyo.ac.id/c_search/byprod/10/99;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100081;RANCANG BANGUN APLIKASI ANDROID MEDIA PEMBELAJARAN KOSA KATA BAHASA ARAB BERGAMBAR DENGAN MENGGUNAKAN MODEL PENDEKATAN ADDIE;Penulis : Ramlah Basyir;Media pembelajaran interaktif, salah satunya yaitu pembelajaran kosa kata bahasa arab. Mengingat seberapa penting bahasa arab untuk seorang muslim sebagai proses awal untuk memahami Al-Qur’an. Sementara siswa terkadang kurang berminat dengan pembelajaran di kelas yang membuat mereka merasa bosan. Disamping itu, smartphone saat ini sudah sangat populer disetiap lapisan masyarakat, begitupun juga anak-anak. Oleh karena itu, agar smartphone dikalangan anak-anak bisa menjadi media yang tepat guna, dirancanglah sebuah aplikasi android media pembelajaran interaktif kosa kata bahasa arab. Model pendekatan yang dilakukan pada proses pembuatan media adalah ADDIE (Analisys, Design, Development, Implementation, Evaluation) yaitu model desain sistem media pembelajaran dengan memperlihatkan tahapan-tahapan dasar media pembelajaran sederhana dan mudah dipelajari. Tampilan aplikasi kosa kata ini dapat tampil sempurna pada perangkat android dengan resolusi 480 x 800 pixels. Berdasarkan Evaluasi yang dilakukan dari sisi siswa yang berupa pertanyaan seputar materi pada aplikasi sebelum siswa menggunakan aplikasi dan setelah menggunakannya, siswa mampu meningkatkan hafalan kosa kata bahasa arab. Sedangkan hasil dari kuisioner yang telah diisi oleh edukator hampir keseluruhan menyatakan bahwa aplikasi ini layak digunakan seterusnya untuk membantu siswa menghafal kosa kata bahasa Arab. Dari responden tim edukator, 78% menyatakan sangat layak, sedangkan 22% menyatakan layak.
1677119747-10;https://pta.trunojoyo.ac.id/c_search/byprod/10/99;Selengkapnya;https://pta.trunojoyo.ac.id/welcome/detail/120411100023;RANCANG BANGUN APLIKASI PEMESANAN MAKANAN DENGAN FITUR CHAT MENGGUNAKAN PLATFORM ANDROID DAN WEB SERVICE;Penulis : Achmad Dany Romadhon;"Kemajuan teknologi tidak sebanding dengan kebutuhan pelayanan masyarakat yang semakin meningkat, misalnya pelayanan pemesanan makanan.  Hal ini dikarenakan masyarakat belum mampu mengoptimalkan teknologi yang ada. Selama ini pemesanan makanan dan minuman masih menggunakan cara manual yaitu dengan antri menggunakan nomor atau menggunakan kertas untuk memesan.  Kurangnya pelayanan yang baik di suatu restoran membuat pelanggan merasa bosan, apalagi pelanggan harus menulis pesanan makanan dan minuman sendiri dikertas. Permasalahan tersebut dapat diatasi dengan menerapkan aplikasi pemesanan menggunakan fitur chat disebuah restoran,  sehingga pelanggan akan dimudahkan dalam memesan makanan dan minuman. Chat merupakan alat komunikasi dengan media elektronik yang menggunakan internet dimana pesan  dikirim dengan sangat cepat. 
Dari data hasil uji coba, penelitian aplikasi ini menggunakan platform android. Pengujian menggunakan kuisioner menunjukkan user pelanggan dan pelayan merasa puas karena hasil presentase menunjukkan di atas 70% dengan alasan karena sistem dapat membantu pelayanan pemesanan, dapat membantu dalam memonitoring pelanggan, membantu dalam melakukan perekapan penghasilan, dan meminimalisir penggunaan kertas serta membantu komunikasi antar pelayan dengan pelanggan dalam pemesanan makanan dengan menggunakan fitur chat.

Kata kunci : aplikasi chat, pelayanan, restoran, android."
