,tweet
0,"""Kita harus bangga dan bersyukur dengan tanah Pasundan,"" pungkasnya. #BersamaJuara Ridwan Kamil"
1,"""Jadi sebenarnya tatar Pasundan sudah senikmat-nikmatnya wilayah. Alamnya indah, orangnya someah ,"" ucap Kang Emil sapaan akrab Ridwan Kamil. #BersamaJuara Ridwan Kamil"
2,Apalagi di tatar Pasundan disuguhkan dengan  alam yang indah dan warga Jabar terkenal ramah ketika menghadapi setiap kebijakan. #BersamaJuara Ridwan Kamil
3,"Gubernur Ridwan Kamil meyakini, pesta demokrasi di Jabar akan berjalan aman. Hal itu berdasar dari ciri khas orang Sunda yang senantiasa mengedepankan musyawarah mufakat dalam setiap mengambil keputusan. #BersamaJuara Ridwan Kamil"
4,Gubernur Jawa Barat Ridwan Kamil melakukan pertemuan dengan ulama dan tokoh masyarakat Kota Banjar di Pendopo Kota Banjar. Ridwan Kamil menyampaikan pesan agar situasi dan kondisi di Kota Banjar menjelang pilkada serentak 2024 berjalan dengan aman dan kondusif. #BersamaJuara
5,Gubernur Ridwan Kamil Ajak Ulama dan Tokoh Masyarakat Kota Banjar Jaga Kondusivitas di Tahun Politik  https://t.co/qJnOxHqfok #BersamaJuara
6,"@Mdy_Asmara1701 harusnya Ridwan Kamil, jadi nilai tawar supaya Golkar ikut ke koalisi perubahan ( dan juga kawan2ny - PAN PPP)"
7,Dari Timur Indonesia Kami Mendukung Prof YIM maju sebagai Capres atau Cawapres di tahun 2024   @Yusrilihza_Mhd  @jokowi  @puanmaharani_ri  @mohmahfudmd  @PDI_Perjuangan  @OfficialDPP_PBB  @airlangga_hrt  @ridwankamil  @ListyoSigitP  https://t.co/GAOi18ABf3
8,"Pemilih Prabowo S. : Tidak tahu: 21,6% ; Ganjar Pranowo: 19,7% ; Anies B. : 19,3% ; Ridwan Kamil: 14,2% ; AHY : 8,4% ; Sandiaga S. Uno: 8,4% ; Tokoh lainnya: 4,6% ; Andika Perkasa: 2,8% ; Erick Thohir: 2,3% ; Tri Rismaharini: 1,8% ; Puan Maharani: 0,9%. #BersamaJuara"
9,"Pemilih Ganjar Pranowo : Tidak Tahu: 30,2% ; Prabowo Subianto: 21,1% ; Ridwan Kamil: 14,8% ; Anies : 7,6% ; Tokoh lainnya: 7,2% ; Erick Thohir: 5,6% ; Tri Rismaharini: 4,9% ; Puan Maharani: 3% ; Sandiaga S. Uno: 2,3% ;  Andika Perkasa: 2% ; Agus Harimurti Y. : 1,3%. #BersamaJuara"
10,"Sandiaga Salahuddin Uno: 8,2% ; Tokoh lainnya: 5,1% ; Andika Perkasa: 2,5% ; Puan Maharani: 2,5% ; Erick Thohir: 0,6% ; Tri Rismaharini: 0%. #BersamaJuara Ridwan Kamil"
11,"Litbang Kompas juga merilis survei skema capres alternatif berdasarkan pemilih Anies, Ganjar dan Prabowo (Januari 2023). Pemilih Anies Baswedan : Tidak Tahu: 24,7% ; Prabowo Subianto: 17,7% ; Ridwan Kamil: 16,5% ; Ganjar Pranowo: 13,3% ; Agus Harimurti Y. : 8,9% #BersamaJuara"
12,"Puan Maharani: 1,5% ; Airlangga Hartarto: 0,8% ; Mahfud Md: 0,7% ; Hary Tanoesoedibyo: 0,5% ; Khofifah Indar Parawansa: 0,5% ; Surya Paloh: 0,5% ; Basuki Tjahaja Purnama: 0,5% ; Lainnya: 2,2% ; Tidak Tahu/tidak jawab: 45,9%. #BersamaJuara Ridwan Kamil"
